轀	wen1	hearse	w	(e)n1	𥁕車
辒	wen1	hearse	w	(e)n1	昷车
輸	shu1	to lose / to transport / to donate / to enter (a password)	shu	Ø1	俞車
输	shu1	to lose / to transport / to donate / to enter (a password)	shu	Ø1	俞车
轡	pei4	bridle / reins	p	ei4	𦆕口
辔	pei4	bridle / reins	p	ei4	口
𦆕					
轅	yuan2	shafts of cart / yamen	yu	an2	袁車
辕	yuan2	shafts of cart / yamen	yu	an2	袁车
轄	xia2	to govern / to control / having jurisdiction over / linchpin of a wheel (archaic) / noise of a barrow	xi	a2	害車
辖	xia2	to govern / to control / having jurisdiction over / linchpin of a wheel (archaic) / noise of a barrow	xi	a2	害车
輾	zhan3	roll over on side / turn half over	zh	an3	展車
辗	zhan3	roll over on side / turn half over	zh	an3	展车
轆	lu4	windlass	lu	Ø4	車鹿
辘	lu4	windlass	lu	Ø4	车鹿
轍	che4	to remove / to withdraw	ch	e4	車
辙	che4	to remove / to withdraw	ch	e4	车
轍	zhe2	rut / track	zh	e2	車
辙	zhe2	rut / track	zh	e2	车
轔	lin2	rumbling of wheels	li	(e)n2	粦車
辚	lin2	rumbling of wheels	li	(e)n2	粦车
辜	gu1	surname Gu	gu	Ø1	古辛
辜	gu1	crime / sin	gu	Ø1	古辛
辤	ci2	old variant of 辭|辞[ci2]	c	Ø2	受辛
辞	ci2	old variant of 辭|辞[ci2]	c	Ø2	舌辛
辭	ci2	to resign / to dismiss / to decline / to take leave / ballad (archaic poetic genre) / variant of 詞|词[ci2]	c	Ø2	又爫辛
辞	ci2	to resign / to dismiss / to decline / to take leave / ballad (archaic poetic genre) / variant of 詞|词[ci2]	c	Ø2	舌辛
辢					束辛
辢	la4	old variant of 辣[la4]	l	a4	束辛
辣	la4	old variant of 辣[la4]	l	a4	束辛
辣	la4	hot (spicy) / pungent	l	a4	束辛
辨	bian4	to distinguish / to recognize	bi	an4	刂辛
辯	bian4	to dispute / to debate / to argue / to discuss	bi	an4	言辡
辩	bian4	to dispute / to debate / to argue / to discuss	bi	an4	讠辡
辮	bian4	a braid or queue / to plait	bi	an4	糸辡
辫	bian4	a braid or queue / to plait	bi	an4	纟辡
辵	chuo4	to walk (side part of split character)	chu	o4	龰彡
辺	bian1	Japanese variant of 邊|边[bian1]	bi	an1	刀辶
込	xx5	(Japanese kokuji) to be crowded, to go into, etc			人辶
遼	liao2	short name for Liaoning 遼寧|辽宁[Liao2 ning2] province / Liao or Khitan dynasty (907-1125)	li	ao2	尞辶
辽	liao2	short name for Liaoning 遼寧|辽宁[Liao2 ning2] province / Liao or Khitan dynasty (907-1125)	li	ao2	了辶
辿	chan1	follow, pursue	ch	an1	山辶
迂	yu1	literal-minded / pedantic / doctrinaire / longwinded / circuitous	yu	Ø1	于辶
迄	qi4	as yet / until	qi	Ø4	乞辶
迅	xun4	rapid	xu	(e)n4	卂辶
邁	mai4	to take a step	m	ai4	萬辶
迈	mai4	to take a step	m	ai4	万辶
迋	wang4	to deceive / to scare / to travel	w	ang4	王辶
迍	zhun1	falter, hesitate	zhu	(e)n1	屯辶
迎	ying2	to welcome / to meet / to face / to forge ahead (esp. in the face of difficulties)	y	(e)ng2	卬辶
運	yun4	to move / to transport / to use / to apply / fortune / luck / fate	yu	(e)n4	軍辶
运	yun4	to move / to transport / to use / to apply / fortune / luck / fate	yu	(e)n4	云辶
近	jin4	near / close to / approximately	ji	(e)n4	斤辶
迓	ya4	to receive (as a guest)	y	a4	牙辶
返	fan3	to return (to)	f	an3	反辶
迕	wu3	obstinate, perverse	w	Ø3	午辶
還	huan2	surname Huan	hu	an2	睘辶
还	huan2	surname Huan	hu	an2	不辶
還	hai2	still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else	h	ai2	睘辶
还	hai2	still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else	h	ai2	不辶
還	huan2	to pay back / to return	hu	an2	睘辶
还	huan2	to pay back / to return	hu	an2	不辶
這	zhe4	this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)	zh	e4	言辶
这	zhe4	this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)	zh	e4	文辶
進	jin4	to advance / to enter / to come (or go) into / to receive or admit / to eat or drink / to submit or present / (used after a verb) into, in / to score a goal	ji	(e)n4	辶隹
进	jin4	to advance / to enter / to come (or go) into / to receive or admit / to eat or drink / to submit or present / (used after a verb) into, in / to score a goal	ji	(e)n4	井辶
遠	yuan3	far / distant / remote	yu	an3	袁辶
远	yuan3	far / distant / remote	yu	an3	元辶
遠	yuan4	to distance oneself from (classical)	yu	an4	袁辶
远	yuan4	to distance oneself from (classical)	yu	an4	元辶
違	wei2	to disobey / to violate / to separate / to go against	w	ei2	辶韋
违	wei2	to disobey / to violate / to separate / to go against	w	ei2	辶韦
遲	chi2	surname Chi	ch	Ø2	犀辶
迟	chi2	surname Chi	ch	Ø2	尺辶
遲	chi2	late / delayed / slow	ch	Ø2	犀辶
迟	chi2	late / delayed / slow	ch	Ø2	尺辶
迢	tiao2	remote	ti	ao2	召辶
迣	zhi4	to leap over	zh	Ø4	世辶
迤	yi2	winding	y	Ø2	㐌辶
迤	yi3	extending to	y	Ø3	㐌辶
㢠	jiong3	variant of 迥[jiong3]	ju	(e)ng3	
迥	jiong3	variant of 迥[jiong3]	ju	(e)ng3	冋辶
迥	jiong3	distant	ju	(e)ng3	冋辶
逈	jiong3	old variant of 迥[jiong3]	ju	(e)ng3	向辶
迥	jiong3	old variant of 迥[jiong3]	ju	(e)ng3	冋辶
迦	jia1	(phonetic sound for Buddhist terms)	ji	a1	加辶
迨	dai4	until / while	d	ai4	台辶
邇	er3	recently / near / close	Ø	Ø3	爾辶
迩	er3	recently / near / close	Ø	Ø3	尔辶
迪	di2	to enlighten	di	Ø2	由辶
廹	po4	variant of 迫[po4] / to persecute / to oppress / embarrassed	p	o4	廴白
迫	po4	variant of 迫[po4] / to persecute / to oppress / embarrassed	p	o4	白辶
迫	po4	to force / to compel / to approach or go towards / urgent / pressing	p	o4	白辶
迭	die2	alternately / repeatedly	di	e2	失辶
迮	ze2	haste / to press	z	e2	乍辶
述	shu4	to state / to tell / to narrate / to relate	shu	Ø4	术辶
逕	jing4	way / path / direct / diameter	ji	(e)ng4	巠辶
迳	jing4	way / path / direct / diameter	ji	(e)ng4	工辶
迶	you4	to walk	y	ou4	有辶
迸	beng4	to burst forth / to spurt / to crack / split	b	(e)ng4	并辶
跡	ji4	footprint / mark / trace / vestige / sign / indication / Taiwan pr. [ji1]	ji	Ø4	⻊亦
迹	ji4	footprint / mark / trace / vestige / sign / indication / Taiwan pr. [ji1]	ji	Ø4	亦辶
蹟	ji4	variant of 跡|迹[ji4]	ji	Ø4	⻊責
迹	ji4	variant of 跡|迹[ji4]	ji	Ø4	亦辶
迹	ji4	variant of 跡|迹[ji4]	ji	Ø4	亦辶
迻	yi2	to shift / to transfer	y	Ø2	多辶
迿	xun4	to be the first to begin a quarrel	xu	(e)n4	旬辶
送	song4	to deliver / to carry / to give (as a present) / to present (with) / to see off / to send	su	(e)ng4	关辶
适	kuo4	see 李适[Li3 Kuo4]	ku	o4	舌辶
適	shi4	surname Shi	sh	Ø4	啇辶
适	shi4	surname Shi	sh	Ø4	舌辶
適	shi4	to fit / suitable / proper / just (now) / comfortable / well / to go / to follow or pursue	sh	Ø4	啇辶
适	shi4	to fit / suitable / proper / just (now) / comfortable / well / to go / to follow or pursue	sh	Ø4	舌辶
逃	tao2	to escape / to run away / to flee	t	ao2	兆辶
逄	pang2	surname Pang	p	ang2	夅辶
逅	hou4	to meet unexpectedly	h	ou4	后辶
逆	ni4	contrary / opposite / backwards / to go against / to oppose / to betray / to rebel	ni	Ø4	屰辶
選	xuan3	to choose / to pick / to select / to elect	xu	an3	巽辶
选	xuan3	to choose / to pick / to select / to elect	xu	an3	先辶
遜	xun4	to abdicate / modest / yielding / unpretentious / inferior to	xu	(e)n4	孫辶
逊	xun4	to abdicate / modest / yielding / unpretentious / inferior to	xu	(e)n4	孙辶
逋	bu1	to flee / to abscond / to owe	bu	Ø1	甫辶
逌	you2	distant / joyous / satisfied	y	ou2	卣辶
逍	xiao1	leisurely / easy-going	xi	ao1	肖辶
透	tou4	to penetrate / to pass through / thoroughly / completely / transparent / to appear / to show	t	ou4	秀辶
逑	qiu2	collect / to match	qi	ou2	求辶
遞	di4	to hand over / to pass on sth / to gradually increase or decrease / progressively	di	Ø4	虒辶
递	di4	to hand over / to pass on sth / to gradually increase or decrease / progressively	di	Ø4	弟辶
逓	di4	Japanese variant of 遞|递	di	Ø4	乕辶
途	tu2	way / route / road	tu	Ø2	余辶
逖	ti4	far	ti	Ø4	狄辶
逗	dou4	to stay / to stop / to tease (play with) / amusing / short pause in reading aloud, equivalent to comma (also written 讀|读[dou4])	d	ou4	豆辶
逛	guang4	to stroll / to visit	gu	ang4	狂辶
逝	shi4	(of time) to pass / to die	sh	Ø4	折辶
逞	cheng3	to show off / to flaunt / to carry out or succeed in a scheme / to indulge / to give free rein to	ch	(e)ng3	呈辶
速	su4	fast / rapid / quick / velocity	su	Ø4	束辶
逡	qun1	to shrink back (from sth)	qu	(e)n1	夋辶
邐	li3	winding	li	Ø3	辶麗
逦	li3	winding	li	Ø3	丽辶
逭	huan4	to escape from	hu	an4	官辶
逯	lu4	surname Lu	lu	Ø4	录辶
逯	lu4	to walk cautiously / to walk aimlessly	lu	Ø4	录辶
逴	chuo4	apparent / distant / highly	chu	o4	卓辶
逵	kui2	crossroads / thoroughfare	ku	ei2	坴辶
逶	wei1	winding, curving / swagger	w	ei1	委辶
逸	yi4	to escape / leisurely / outstanding	y	Ø4	兔辶
逹	da2	arrive at / reach / intelligent / variant of 達|达	d	a2	幸辶
邏	luo2	logic / patrol	lu	o2	羅辶
逻	luo2	logic / patrol	lu	o2	罗辶
偪	bi1	variant of 逼[bi1] / to compel / to pressure	bi	Ø1	亻畐
逼	bi1	variant of 逼[bi1] / to compel / to pressure	bi	Ø1	畐辶
逼	bi1	to force (sb to do sth) / to compel / to press for / to extort / to press on towards / to press up to / to close in on / used in the place of 屄[bi1], cunt	bi	Ø1	畐辶
踰	yu2	variant of 逾[yu2]	yu	Ø2	⻊俞
逾	yu2	variant of 逾[yu2]	yu	Ø2	俞辶
逾	yu2	to exceed / to go beyond / to transcend / to cross over / to jump over	yu	Ø2	俞辶
遁	dun4	to evade / to flee / to escape	du	(e)n4	盾辶
遯	dun4	variant of 遁[dun4]	du	(e)n4	豚辶
遁	dun4	variant of 遁[dun4]	du	(e)n4	盾辶
遄	chuan2	to hurry / to go to and fro	chu	an2	耑辶
遅	chi2	Japanese variant of 遲|迟	ch	Ø2	𡱝辶
𡱝					
遇	yu4	surname Yu	yu	Ø4	禺辶
遇	yu4	to meet / to encounter / to treat / to receive / opportunity / chance	yu	Ø4	禺辶
徧	bian4	variant of 遍[bian4]	bi	an4	彳扁
遍	bian4	variant of 遍[bian4]	bi	an4	扁辶
遍	bian4	everywhere / all over / classifier for actions: one time	bi	an4	扁辶
遏	e4	to restrain / to check / to hold back	Ø	e4	曷辶
遑	huang2	leisure	hu	ang2	皇辶
遒	qiu2	strong / vigorous / robust / to draw near / to come to an end	qi	ou2	辶酋
遺	yi2	to lose / to leave behind / to omit / to bequeath / sth lost / involuntary discharge (of urine etc)	y	Ø2	貴辶
遗	yi2	to lose / to leave behind / to omit / to bequeath / sth lost / involuntary discharge (of urine etc)	y	Ø2	贵辶
遘	gou4	meet unexpectedly	g	ou4	冓辶
遙					山月牛辶
遛	liu4	to stroll / to walk (an animal)	li	ou4	留辶
遟	chi2	variant of 遲|迟[chi2]	ch	Ø2	屖辶
遢	ta4	careless, negligent, slipshod / see 邋遢[la1 ta5]	t	a4	𦐇辶
遙	yao2	distant / remote / far / far away	y	ao2	山月牛辶
遥	yao2	distant / remote / far / far away	y	ao2	山爫牛辶
遨	ao2	to make excursion / to ramble / to travel	Ø	ao2	敖辶
遫	su4	alert / nimble / quick	su	Ø4	敕辶
遭	zao1	to meet by chance (usually with misfortune) / classifier for events: time, turn, incident	z	ao1	曹辶
遮	zhe1	to cover up (a shortcoming) / to screen off / to hide / to conceal	zh	e1	庶辶
遰	di4	to go away / to migrate	di	Ø4	帶辶
遴	lin2	surname Lin	li	(e)n2	粦辶
遴	lin2	(literary) to select	li	(e)n2	粦辶
遵	zun1	to observe / to obey / to follow / to comply with	zu	(e)n1	尊辶
遹	yu4	surname Yu	yu	Ø4	矞辶
遹	yu4	follow / in accordance with	yu	Ø4	矞辶
遻	wu4	recalcitrant / to encounter	w	Ø4	吅逆
避	bi4	to avoid / to shun / to flee / to escape / to keep away from / to leave / to hide from	bi	Ø4	辟辶
邀	yao1	to invite / to request / to intercept / to solicit / to seek	y	ao1	敫辶
邂	xie4	to meet unexpectedly	xi	e4	解辶
邃	sui4	deep / distant / mysterious	su	ei4	穴遂
邅	zhan1	not making progress	zh	an1	亶辶
邈	miao3	profound / remote	mi	ao3	貌辶
邉	bian1	old variant of 邊|边[bian1]	bi	an1	辶
邋	la1	see 邋遢[la1 ta5]	l	a1	巤辶
邎	yao2	variant of 遙|遥, distant / remote / far / far away	y	ao2	䌛辶
䌛					
鄧	deng4	surname Deng	d	(e)ng4	登阝
邓	deng4	surname Deng	d	(e)ng4	又阝
邗	han2	name of an ancient river	h	an2	干阝
邘	yu2	surname Yu	yu	Ø2	于阝
邘	yu2	place name	yu	Ø2	于阝
邙	mang2	Mt Mang at Luoyang in Henan, with many Han, Wei and Jin dynasty royal tombs	m	ang2	亡阝
鄺	kuang4	surname Kuang	ku	ang4	廣阝
邝	kuang4	surname Kuang	ku	ang4	广阝
邠	bin1	variant of 豳[Bin1]	bi	(e)n1	分阝
邠	bin1	variant of 彬[bin1]	bi	(e)n1	分阝
邡	fang1	name of a district in Sichuan	f	ang1	方阝
邢	xing2	surname Xing / place name	xi	(e)ng2	开阝
邧	yuan2	place name	yu	an2	元阝
鄔	wu1	surname Wu / ancient place name	w	Ø1	烏阝
邬	wu1	surname Wu / ancient place name	w	Ø1	乌阝
郵	you2	post (office) / mail	y	ou2	垂阝
邮	you2	post (office) / mail	y	ou2	由阝
邯	han2	name of a district in Hebei	h	an2	甘阝
邰	tai2	surname Tai / name of a feudal state	t	ai2	台阝
邱	qiu1	surname Qiu	qi	ou1	丘阝
邱	qiu1	mound	qi	ou1	丘阝
邲	bi4	surname Bi / ancient place name	bi	Ø4	必阝
邳	pi1	surname Pi / Han dynasty county in modern Jiangsu / also pr. [Pei2]	pi	Ø1	丕阝
邳	pi1	variant of 丕[pi1]	pi	Ø1	丕阝
邴	bing3	surname Bing	bi	(e)ng3	丙阝
邴	bing3	ancient city name / happy	bi	(e)ng3	丙阝
邵	shao4	surname Shao / place name	sh	ao4	召阝
邶	bei4	name of a feudal state	b	ei4	北阝
邷	wa3	old place name	w	a3	瓦阝
邷	wa3	to grab / see 邷麼兒|邷么儿[wa3 mo2 r5]	w	a3	瓦阝
邸	di3	surname Di	di	Ø3	氐阝
邸	di3	lodging-house	di	Ø3	氐阝
鄒	zou1	surname Zou / vassal state during the Zhou Dynasty (1046-256 BC) in the southeast of Shandong Province	z	ou1	芻阝
邹	zou1	surname Zou / vassal state during the Zhou Dynasty (1046-256 BC) in the southeast of Shandong Province	z	ou1	刍阝
鄴	ye4	surname Ye	y	e4	業阝
邺	ye4	surname Ye	y	e4	业阝
鄴	ye4	name of ancient district in modern day Hebei Province 河北省[He2 bei3 Sheng3]	y	e4	業阝
邺	ye4	name of ancient district in modern day Hebei Province 河北省[He2 bei3 Sheng3]	y	e4	业阝
鄰	lin2	neighbor / adjacent / close to	li	(e)n2	粦阝
邻	lin2	neighbor / adjacent / close to	li	(e)n2	令阝
隣	lin2	variant of 鄰|邻[lin2]	li	(e)n2	粦阝
邻	lin2	variant of 鄰|邻[lin2]	li	(e)n2	令阝
邽	gui1	surname Gui / ancient place name	gu	ei1	圭阝
邾	zhu1	surname Zhu	zhu	Ø1	朱阝
邾	zhu1	name of a feudal state	zhu	Ø1	朱阝
邿	shi1	place name	sh	Ø1	寺阝
欝	yu4	variant of 鬱|郁[yu4]	yu	Ø4	寸木爻罒
郁	yu4	variant of 鬱|郁[yu4]	yu	Ø4	有阝
郁	yu4	surname Yu	yu	Ø4	有阝
郁	yu4	elegant	yu	Ø4	有阝
鬰	yu4	old variant of 鬱|郁[yu4]	yu	Ø4	彡欁鬯
郁	yu4	old variant of 鬱|郁[yu4]	yu	Ø4	有阝
欁					林農
鬯	chang4	sacrificial spirit	ch	ang4	
鬱	yu4	surname Yu	yu	Ø4	彡鬯
郁	yu4	surname Yu	yu	Ø4	有阝
鬱	yu4	dense (growth) / melancholy	yu	Ø4	彡鬯
郁	yu4	dense (growth) / melancholy	yu	Ø4	有阝
郃	he2	name of a person	h	e2	合阝
郄	xi4	variant of 郤, surname Xi	xi	Ø4	𠫤阝
郅	zhi4	surname Zhi	zh	Ø4	至阝
郅	zhi4	extremely / very	zh	Ø4	至阝
郇	xun2	name of a feudal state	xu	(e)n2	旬阝
郈	hou4	surname Hou / place name	h	ou4	后阝
郊	jiao1	surname Jiao	ji	ao1	交阝
郊	jiao1	suburbs / outskirts	ji	ao1	交阝
郟	jia2	name of a district in Henan	ji	a2	夾阝
郏	jia2	name of a district in Henan	ji	a2	夹阝
鄶	kuai4	surname Kuai / name of a feudal state	ku	ai4	會阝
郐	kuai4	surname Kuai / name of a feudal state	ku	ai4	会阝
鄆	yun4	place name	yu	(e)n4	軍阝
郓	yun4	place name	yu	(e)n4	军阝
郔	yan2	(place name)	y	an2	延阝
郕	cheng2	surname Cheng / Zhou Dynasty (1046-256 BCE) vassal state	ch	(e)ng2	成阝
郗	chi1	surname Chi / name of an ancient city	ch	Ø1	希阝
郙	fu3	ancient place name	fu	Ø3	甫阝
郚	wu2	place name	w	Ø2	吾阝
郛	fu2	suburbs	fu	Ø2	孚阝
郜	gao4	surname Gao / name of a feudal state	g	ao4	告阝
郝	hao3	ancient place name / surname Hao	h	ao3	赤阝
郞	lang2	variant of 郎[Lang2] / surname Lang	l	ang2	良阝
郞	lang2	variant of 郎[lang2]	l	ang2	良阝
郠	geng3	(place name)	g	(e)ng3	更阝
郡	jun4	canton / county / region	ju	(e)n4	君阝
郢	ying3	Ying, ancient capital of Chu 楚 in Hubei, Jianling county 江陵縣|江陵县	y	(e)ng3	呈阝
郤	xi4	surname Xi	xi	Ø4	谷阝
郤	xi4	variant of 隙[xi4]	xi	Ø4	谷阝
酈	li4	surname Li / ancient place name	li	Ø4	阝麗
郦	li4	surname Li / ancient place name	li	Ø4	丽阝
鄖	yun2	name of a feudal state	yu	(e)n2	口郥
郧	yun2	name of a feudal state	yu	(e)n2	员阝
郥					貝阝
郪	qi1	name of a river / place name	qi	Ø1	妻阝
郫	pi2	place name	pi	Ø2	卑阝
郯	tan2	surname Tan / name of an ancient city	t	an2	炎阝
郰	zou1	birthplace of Confucius in Shandong	z	ou1	耳邓
郲	lai2	name of a country in Spring and Autumn period in modern Shandong, destroyed by Qi 齊|齐	l	ai2	來阝
郳	ni2	place name	ni	Ø2	兒阝
郴	chen1	name of a district in Hunan	ch	(e)n1	林阝
郷	xiang1	Japanese variant of 鄉|乡	xi	ang1	幺郎
鄲	dan1	name of a district in Hebei	d	an1	單阝
郸	dan1	name of a district in Hebei	d	an1	单阝
郹	ju2	place name	ju	Ø2	狊阝
狊					犬目
郾	yan3	place name	y	an3	匽阝
郿	mei2	ancient place name	m	ei2	眉阝
鄀	ruo4	place name	ru	o4	若阝
鄂	e4	abbr. for Hubei Province 湖北省[Hu2 bei3 Sheng3] in central China / surname E	Ø	e4	咢阝
鄄	juan4	name of a district in Shandong	ju	an4	垔阝
鄇	hou4	place name	h	ou4	侯阝
鄈	kui2	place name	ku	ei2	癸阝
鄋	sou1	see 鄋瞞|鄋瞒[Sou1 man2]	s	ou1	叟阝
鄍	ming2	place name	mi	(e)ng2	冥阝
鄎	xi4	place name	xi	Ø4	息阝
鄏	ru4	place name	ru	Ø4	辱阝
鄐	chu4	surname Chu	chu	Ø4	畜阝
鄑	zi1	place name	z	Ø1	晋阝
鄕	xiang1	variant of 鄉|乡[xiang1] / country / village	xi	ang1	阝
鄗	hao4	ancient place name	h	ao4	阝高
鄘	yong1	surname Yong / name of a feudal state	yu	(e)ng1	庸阝
鄙	bi3	rustic / low / base / mean / to despise / to scorn	bi	Ø3	啚阝
鄚	mo4	surname Mo	m	o4	莫阝
鄜	fu1	name of a district in Shaanxi	fu	Ø1	阝鹿
鄞	yin2	name of a district in Zhejiang	y	(e)n2	堇阝
鄠	hu4	name of a district in Shaanxi	hu	Ø4	阝雩
鄢	yan1	surname Yan / name of a district in Henan	y	an1	焉阝
鄣	zhang1	place name	zh	ang1	章阝
鄤	man4	place name	m	an4	曼阝
鄦	xu3	surname Xu / vassal state during the Zhou Dynasty (1046-221 BC)	xu	Ø3	無阝
鄦	xu3	old variant of 許|许	xu	Ø3	無阝
鄩	xin2	surname Xin / place name	xi	(e)n2	尋阝
鄫	zeng2	surname Zeng / Zhou vassal state	z	(e)ng2	曾阝
鄬	wei2	place in Henan province	w	ei2	爲阝
鄮	mao4	ancient place name	m	ao4	貿阝
鄯	shan4	name of a district in Xinjiang	sh	an4	善阝
鄱	po2	name of a lake	p	o2	番阝
鄵	cao4	ancient place name (between present-day Xinzheng County 新鄭|新郑[Xin1 zheng4] and Lushan County 魯山|鲁山[Lu3 shan1], Henan)	c	ao4	喿阝
鄷	feng1	old variant of 酆[Feng1]	f	(e)ng1	豊阝
鄹	zou1	name of a state / surname Zou	z	ou1	聚阝
鄻	lian3	place name	li	an3	輦阝
鄾	you1	place name	y	ou1	憂阝
鄿	qi2	(herb) / place name	qi	Ø2	蕇阝
蕇					卄單
酇	zan4	group of 100 families / place name	z	an4	贊阝
酂	zan4	group of 100 families / place name	z	an4	赞阝
酃	ling2	name of a district in Hunan	li	(e)ng2	阝霝
酅	xi1	place name	xi	Ø1	巂阝
酆	feng1	Zhou Dynasty capital / surname Feng	f	(e)ng1	豐阝
酊	ding3	intoxicated	di	(e)ng3	丁酉
酌	zhuo2	to pour wine / to drink wine / to deliberate / to consider	zhu	o2	勺酉
配	pei4	to join / to fit / to mate / to mix / to match / to deserve / to make up (a prescription)	p	ei4	己酉
酎	zhou4	strong wine	zh	ou4	寸酉
酏	yi2	elixirs / sweet wine	y	Ø2	也酉
酐	gan1	anhydride	g	an1	干酉
酒	jiu3	wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]	ji	ou3	氵酉
酔	zui4	Japanese variant of 醉	zu	ei4	卆酉
酕	mao2	very drunk / blotto / three sheets to the wind	m	ao2	毛酉
酖	dan1	addicted to liquor	d	an1	冘酉
酖	zhen4	poisonous / to poison	zh	(e)n4	冘酉
酗	xu4	drunk	xu	Ø4	凶酉
酚	fen1	phenol	f	(e)n1	分酉
醞	yun4	to brew	yu	(e)n4	𥁕酉
酝	yun4	to brew	yu	(e)n4	云酉
酞	tai4	phthalein (chemistry)	t	ai4	太酉
酡	tuo2	flushed (from drinking)	tu	o2	它酉
酢	cu4	variant of 醋[cu4]	cu	Ø4	乍酉
酢	zuo4	toast to host by guest	zu	o4	乍酉
酣	han1	intoxicated	h	an1	甘酉
酤	gu1	to deal in liquors	gu	Ø1	古酉
酥	su1	flaky pastry / crunchy / limp / soft / silky	su	Ø1	禾酉
醱	fa1	see 醱酵|酦酵[fa1 jiao4]	f	a1	發酉
酦	fa1	see 醱酵|酦酵[fa1 jiao4]	f	a1	发酉
